date,mood_rating,sleep_hours,stress_level,social_interaction,exercise_done,primary_trigger,mood_score,recommendation
2025-11-30,7,5.0,1,2,1,sleep,70,Try to get at least 7 hours of sleep tonight
2025-12-01,4,4.0,5,3,1,social,49,Try to get at least 7 hours of sleep tonight
2025-12-02,8,9.0,1,5,0,health,84,Even 10 minutes of movement can lift your mood
2025-12-03,5,6.0,8,1,0,sleep,44,Consider a short breathing exercise or go for a walk
2025-12-04,7,8.5,1,4,0,relationship,78,Even 10 minutes of movement can lift your mood
2025-12-05,10,7.0,1,1,1,work,86,Reach out to someone you trust today
2025-12-06,3,8.5,2,4,0,sleep,60,Even 10 minutes of movement can lift your mood
2025-12-07,7,8.0,2,1,1,relationship,75,Reach out to someone you trust today
2025-12-08,8,7.0,6,5,0,social,71,Even 10 minutes of movement can lift your mood
2025-12-09,5,8.0,7,4,1,sleep,63,Consider a short breathing exercise or go for a walk
2025-12-10,4,7.5,5,3,1,social,60,You're doing amazing — keep it up!
2025-12-11,8,4.5,1,1,1,social,70,Try to get at least 7 hours of sleep tonight
2025-12-12,8,4.0,1,1,0,health,64,Try to get at least 7 hours of sleep tonight
2025-12-13,3,7.0,3,4,1,work,60,You're doing amazing — keep it up!
2025-12-14,6,7.0,2,3,1,sleep,72,You're doing amazing — keep it up!
2025-12-15,5,7.5,5,3,0,social,58,Even 10 minutes of movement can lift your mood
2025-12-16,2,6.0,10,5,0,finance,36,Consider a short breathing exercise or go for a walk
2025-12-17,8,5.0,6,3,1,social,66,Try to get at least 7 hours of sleep tonight
2025-12-18,6,7.5,7,3,1,work,64,Consider a short breathing exercise or go for a walk
2025-12-19,2,6.5,4,3,0,health,46,Even 10 minutes of movement can lift your mood
2025-12-20,5,9.0,7,2,0,health,54,Consider a short breathing exercise or go for a walk
2025-12-21,1,5.0,8,5,1,work,38,Try to get at least 7 hours of sleep tonight
2025-12-22,10,4.0,1,1,1,sleep,77,Try to get at least 7 hours of sleep tonight
2025-12-23,6,5.0,6,4,0,social,55,Try to get at least 7 hours of sleep tonight
2025-12-24,9,6.0,8,1,0,social,60,Consider a short breathing exercise or go for a walk
2025-12-25,1,5.0,5,5,0,sleep,39,Try to get at least 7 hours of sleep tonight
2025-12-26,10,4.0,4,4,1,sleep,77,Try to get at least 7 hours of sleep tonight
2025-12-27,3,6.0,2,5,1,work,61,You're doing amazing — keep it up!
2025-12-28,7,8.5,6,3,0,work,66,Even 10 minutes of movement can lift your mood
2025-12-29,4,7.0,6,4,1,relationship,58,You're doing amazing — keep it up!
2025-12-30,9,7.0,1,3,1,finance,86,You're doing amazing — keep it up!
2025-12-31,3,9.0,9,1,0,sleep,40,Consider a short breathing exercise or go for a walk
2026-01-01,5,8.0,6,1,0,relationship,54,Reach out to someone you trust today
2026-01-02,3,8.5,3,4,0,health,58,Even 10 minutes of movement can lift your mood
2026-01-03,7,8.5,4,4,1,social,77,You're doing amazing — keep it up!
2026-01-04,5,5.0,4,5,1,social,62,Try to get at least 7 hours of sleep tonight
2026-01-05,9,7.0,3,5,1,work,86,You're doing amazing — keep it up!
2026-01-06,7,4.0,10,3,1,work,51,Try to get at least 7 hours of sleep tonight
2026-01-07,2,5.5,3,4,1,health,52,Try to get at least 7 hours of sleep tonight
2026-01-08,4,5.5,3,1,1,social,54,Try to get at least 7 hours of sleep tonight
2026-01-09,9,6.0,4,5,0,work,76,Even 10 minutes of movement can lift your mood
2026-01-10,2,7.0,7,5,1,relationship,50,Consider a short breathing exercise or go for a walk
2026-01-11,10,7.0,4,1,0,finance,75,Reach out to someone you trust today
2026-01-12,9,9.0,9,5,0,work,72,Consider a short breathing exercise or go for a walk
2026-01-13,10,5.5,1,3,0,relationship,80,Try to get at least 7 hours of sleep tonight
2026-01-14,5,7.0,8,4,0,relationship,53,Consider a short breathing exercise or go for a walk
2026-01-15,2,9.0,7,1,0,relationship,40,Consider a short breathing exercise or go for a walk
2026-01-16,4,5.0,2,4,0,work,55,Try to get at least 7 hours of sleep tonight
2026-01-17,7,6.5,8,5,1,health,66,Consider a short breathing exercise or go for a walk
2026-01-18,8,4.5,1,5,0,social,74,Try to get at least 7 hours of sleep tonight
2026-01-19,3,8.5,9,1,0,health,40,Consider a short breathing exercise or go for a walk
2026-01-20,1,8.0,9,3,1,relationship,41,Consider a short breathing exercise or go for a walk
2026-01-21,4,6.0,2,2,1,health,59,Reach out to someone you trust today
2026-01-22,2,6.5,7,1,0,finance,36,Consider a short breathing exercise or go for a walk
2026-01-23,8,5.5,10,2,1,finance,58,Try to get at least 7 hours of sleep tonight
2026-01-24,4,9.0,3,2,1,finance,63,Reach out to someone you trust today
2026-01-25,2,8.5,7,3,0,sleep,44,Consider a short breathing exercise or go for a walk
2026-01-26,6,7.0,10,2,1,work,54,Consider a short breathing exercise or go for a walk
2026-01-27,6,8.0,9,2,1,sleep,59,Consider a short breathing exercise or go for a walk
2026-01-28,10,7.0,4,3,0,finance,79,Even 10 minutes of movement can lift your mood
2026-01-29,4,4.0,1,2,0,work,50,Try to get at least 7 hours of sleep tonight
2026-01-30,6,4.0,2,2,1,social,61,Try to get at least 7 hours of sleep tonight
2026-01-31,2,8.0,1,2,1,work,59,Reach out to someone you trust today
2026-02-01,10,9.0,5,1,1,social,81,Reach out to someone you trust today
2026-02-02,2,8.0,5,1,1,finance,49,Reach out to someone you trust today
2026-02-03,10,5.5,7,1,1,finance,70,Try to get at least 7 hours of sleep tonight
2026-02-04,4,8.0,9,3,1,work,53,Consider a short breathing exercise or go for a walk
2026-02-05,8,5.0,9,5,1,relationship,64,Try to get at least 7 hours of sleep tonight
2026-02-06,7,7.0,3,2,1,social,72,Reach out to someone you trust today
2026-02-07,9,6.5,3,2,1,sleep,78,Reach out to someone you trust today
2026-02-08,8,7.5,3,3,1,health,80,You're doing amazing — keep it up!
2026-02-09,5,9.0,4,2,1,social,65,Reach out to someone you trust today
2026-02-10,2,8.0,8,1,1,sleep,43,Consider a short breathing exercise or go for a walk
2026-02-11,5,6.0,6,5,0,health,56,Even 10 minutes of movement can lift your mood
2026-02-12,8,4.0,8,4,1,work,61,Try to get at least 7 hours of sleep tonight
2026-02-13,10,5.0,1,2,1,sleep,82,Try to get at least 7 hours of sleep tonight
2026-02-14,9,8.5,8,1,1,sleep,71,Consider a short breathing exercise or go for a walk
2026-02-15,9,7.5,4,4,1,sleep,84,You're doing amazing — keep it up!
2026-02-16,1,9.0,1,5,1,sleep,61,You're doing amazing — keep it up!
2026-02-17,9,6.5,8,4,0,social,68,Consider a short breathing exercise or go for a walk
2026-02-18,7,7.5,4,1,0,health,64,Reach out to someone you trust today
2026-02-19,9,8.0,6,4,0,finance,76,Even 10 minutes of movement can lift your mood
2026-02-20,8,5.5,8,3,0,finance,58,Try to get at least 7 hours of sleep tonight
2026-02-21,1,4.0,4,4,0,health,36,Try to get at least 7 hours of sleep tonight
2026-02-22,8,4.0,3,2,1,health,67,Try to get at least 7 hours of sleep tonight
2026-02-23,8,8.5,9,2,0,work,62,Consider a short breathing exercise or go for a walk
2026-02-24,3,5.5,3,3,1,sleep,54,Try to get at least 7 hours of sleep tonight
2026-02-25,1,7.0,9,1,0,social,29,Consider a short breathing exercise or go for a walk
2026-02-26,8,4.5,2,2,1,work,70,Try to get at least 7 hours of sleep tonight
2026-02-27,3,5.0,2,5,0,social,53,Try to get at least 7 hours of sleep tonight
